 ,Label,Area,Angle,Length
1,p02-growth-H02-2X_B03.TIF,89,0.000,88.746
2,p02-growth-H02-2X_B03.TIF,6,-30.466,4.931
3,p02-growth-H02-2X_B03.TIF,84,0.000,83.156
4,p02-growth-H02-2X_B03.TIF,7,-3.366,5.676
5,p02-growth-H02-2X_B03.TIF,87,0.000,86.114
6,p02-growth-H02-2X_B03.TIF,5,2.291,4.170
7,p02-growth-H02-2X_B03.TIF,78,0.000,77.239
8,p02-growth-H02-2X_B03.TIF,6,-50.013,5.057
9,p02-growth-H02-2X_B03.TIF,89,0.000,88.090
10,p02-growth-H02-2X_B03.TIF,7,-17.650,5.772
11,p02-growth-H02-2X_B04.TIF,87,0.000,86.571
12,p02-growth-H02-2X_B04.TIF,6,-92.121,4.503
13,p02-growth-H02-2X_B04.TIF,82,0.000,81.781
14,p02-growth-H02-2X_B04.TIF,6,178.568,5.002
15,p02-growth-H02-2X_B04.TIF,85,0.000,84.232
16,p02-growth-H02-2X_B04.TIF,6,-42.184,5.398
17,p02-growth-H02-2X_B04.TIF,83,0.000,82.190
18,p02-growth-H02-2X_B04.TIF,6,18.435,5.270
19,p02-growth-H02-2X_B04.TIF,83,0.000,82.571
20,p02-growth-H02-2X_B04.TIF,6,14.931,5.175
21,p02-growth-H02-2X_B06.TIF,87,0.000,86.208
22,p02-growth-H02-2X_B06.TIF,6,52.765,5.233
23,p02-growth-H02-2X_B06.TIF,89,0.000,88.505
24,p02-growth-H02-2X_B06.TIF,6,-13.134,5.134
25,p02-growth-H02-2X_B06.TIF,95,0.000,94.070
26,p02-growth-H02-2X_B06.TIF,6,17.241,5.061
27,p02-growth-H02-2X_B06.TIF,80,0.000,79.687
28,p02-growth-H02-2X_B06.TIF,6,-56.889,4.577
29,p02-growth-H02-2X_B06.TIF,85,0.000,84.650
30,p02-growth-H02-2X_B06.TIF,6,87.955,4.670
31,p02-growth-H02-2X_B09.TIF,80,0.000,79.286
32,p02-growth-H02-2X_B09.TIF,6,-6.116,4.693
33,p02-growth-H02-2X_B09.TIF,79,0.000,78.415
34,p02-growth-H02-2X_B09.TIF,6,-64.290,4.994
35,p02-growth-H02-2X_B09.TIF,93,0.000,92.557
36,p02-growth-H02-2X_B09.TIF,5,28.610,4.177
37,p02-growth-H02-2X_B09.TIF,69,0.000,68.581
38,p02-growth-H02-2X_B09.TIF,5,28.072,4.250
39,p02-growth-H02-2X_B09.TIF,89,0.000,88.881
40,p02-growth-H02-2X_B09.TIF,5,0.000,4.333
41,p02-growth-H02-2X_B11.TIF,76,0.000,75.943
42,p02-growth-H02-2X_B11.TIF,5,17.928,4.467
43,p02-growth-H02-2X_B11.TIF,76,0.000,75.686
44,p02-growth-H02-2X_B11.TIF,5,0.000,4.000
45,p02-growth-H02-2X_B11.TIF,82,0.000,81.944
46,p02-growth-H02-2X_B11.TIF,6,-52.524,4.725
47,p02-growth-H02-2X_B11.TIF,81,0.000,80.911
48,p02-growth-H02-2X_B11.TIF,6,40.156,5.234
49,p02-growth-H02-2X_B11.TIF,79,0.000,78.082
50,p02-growth-H02-2X_B11.TIF,6,36.573,4.825
